flightNumber,airline,origin,destination,dayOfWeek,scheduledDepartureTime,scheduledArrivalTime,validFrom,validTo
1102,Air India,Delhi,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",16:15,,26-10-2020,27-03-2021
84,Air India,Goa,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",23:10,,29-03-2020,24-10-2020
1126,Air India,Delhi,Chennai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",16:30,,26-10-2020,27-03-2021
3777,Air India,Imphal,Agartala,"Monday,Thursday",15:30,16:15,27-10-2020,26-03-2021
1573,AirAsia India,Kochi,Hyderabad,"Sunday,Tuesday,Wednesday,Thursday,Friday,Saturday",13:35,,29-03-2020,24-10-2020
1558,AirAsia India,Bengaluru,Bhubaneswar,Sunday,05:45,,25-10-2020,21-03-2021
1572,AirAsia India,Hyderabad,Kochi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",11:15,,29-03-2020,30-06-2020
1585,AirAsia India,Hyderabad,Bengaluru,"Sunday,Tuesday,Wednesday,Thursday,Friday,Saturday",13:00,14:05,16-05-2020,29-06-2020
1559,AirAsia India,Bhubaneswar,Bengaluru,"Sunday,Tuesday,Thursday,Saturday",08:20,,25-10-2020,26-03-2021
1727,AirAsia India,Kochi,Bengaluru,"Sunday,Tuesday,Wednesday,Thursday,Friday,Saturday",16:20,17:20,29-03-2020,24-10-2020
1731,AirAsia India,Kochi,Bengaluru,Monday,00:40,01:50,25-10-2020,27-03-2021
1539,AirAsia India,Visakhapatnam,Bengaluru,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",06:40,08:05,29-03-2020,24-10-2020
2164,TestIndigo,Delhi,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",13:10,15:30,25-10-2020,27-03-2021
7744,TestIndigo,Calicut,Hyderabad,"Sunday,Tuesday,Thursday,Saturday",08:40,,25-10-2020,26-03-2021
7347,TestIndigo,Aurangabad,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",14:00,15:25,25-10-2020,27-03-2021
8016,TestIndigo,Kochi,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",05:05,,29-03-2020,24-10-2020
7684,TestIndigo,Bengaluru,Hyderabad,"Sunday,Tuesday,Thursday,Friday,Saturday",20:00,,25-10-2020,27-03-2021
6539,TestIndigo,Guwahati,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Saturday",08:40,,25-10-2020,26-03-2021
6744,TestIndigo,Goa,Hyderabad,Friday,07:25,,02-05-2020,16-05-2020
6355,TestIndigo,Kolkata,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",11:40,13:45,29-03-2020,14-05-2020
6319,TestIndigo,Hyderabad,Thiruvananthapuram,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",15:25,17:15,29-03-2020,24-10-2020
2198,TestIndigo,Delhi,Thiruvananthapuram,"Monday,Wednesday,Friday",18:10,21:30,27-10-2020,27-03-2021
2165,TestIndigo,Hyderabad,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",16:25,18:55,25-10-2020,27-03-2021
2161,TestIndigo,Bhubaneswar,Delhi,Saturday,07:00,,25-10-2020,25-10-2020
2055,TestIndigo,Aurangabad,Delhi,"Monday,Wednesday,Friday",13:20,15:40,27-10-2020,27-03-2021
6615,TestIndigo,Bagdogra,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",14:50,17:15,25-10-2020,27-03-2021
2067,TestIndigo,Gaya,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",13:15,15:05,25-10-2020,27-03-2021
6733,TestIndigo,Lucknow,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",08:40,,01-05-2020,24-10-2020
2047,TestIndigo,Kochi,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",10:00,13:20,25-10-2020,27-03-2021
2057,TestIndigo,Amritsar,Delhi,"Wednesday,Thursday,Saturday",10:50,12:05,25-10-2020,26-03-2021
2072,TestIndigo,Dehradun,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",17:15,18:10,25-10-2020,27-03-2021
2258,TestIndigo,Ahmedabad,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",09:20,10:40,25-10-2020,27-03-2021
267,TestIndigo,Ahmedabad,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",21:10,22:50,25-10-2020,27-03-2021
2012,TestIndigo,Bengaluru,Delhi,Monday,05:40,08:55,25-10-2020,27-03-2021
2163,TestIndigo,Bengaluru,Delhi,"Monday,Wednesday,Friday",08:35,11:40,25-10-2020,27-03-2021
2176,TestIndigo,Bengaluru,Delhi,Monday,10:25,16:15,25-10-2020,27-03-2021
2069,TestIndigo,Indore,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",06:55,,26-10-2020,27-03-2021
